system,op,iterations,trial,rwtest_time_ms,real_time_s
FUSE,write,1000,2,54.07,0.49
FUSE,write,1000,3,51.63,0.83
FUSE,write,1000,4,53.89,0.50
FUSE,write,1000,5,54.57,0.84
FUSE,write,1000,6,54.75,0.50
FUSE,read,1000,2,51.97,0.49
FUSE,read,1000,3,49.47,0.81
FUSE,read,1000,4,371.07,0.82
FUSE,read,1000,5,51.94,0.82
FUSE,read,1000,6,368.06,0.84
NFS,write,1000,2,401.30,0.40
NFS,write,1000,3,409.92,0.41
NFS,write,1000,4,408.03,0.41
NFS,write,1000,5,470.78,0.47
NFS,write,1000,6,408.55,0.41
NFS,read,1000,2,198.07,0.20
NFS,read,1000,3,196.72,0.19
NFS,read,1000,4,195.57,0.19
NFS,read,1000,5,194.47,0.19
NFS,read,1000,6,187.85,0.19
FUSE,write,1500,2,73.94,0.55
FUSE,write,1500,3,81.05,0.88
FUSE,write,1500,4,73.29,0.52
FUSE,write,1500,5,80.88,0.86
FUSE,write,1500,6,80.73,0.51
FUSE,read,1500,2,412.33,0.86
FUSE,read,1500,3,80.41,0.84
FUSE,read,1500,4,395.53,0.85
FUSE,read,1500,5,80.83,0.87
FUSE,read,1500,6,400.21,0.84
NFS,write,1500,2,620.82,0.62
NFS,write,1500,3,611.10,0.61
NFS,write,1500,4,613.99,0.61
NFS,write,1500,5,611.20,0.61
NFS,write,1500,6,615.75,0.61
NFS,read,1500,2,291.60,0.29
NFS,read,1500,3,291.32,0.29
NFS,read,1500,4,289.60,0.29
NFS,read,1500,5,286.19,0.28
NFS,read,1500,6,287.32,0.28
FUSE,write,2000,2,105.80,0.55
FUSE,write,2000,3,106.79,0.89
FUSE,write,2000,4,100.69,0.54
FUSE,write,2000,5,107.00,0.87
FUSE,write,2000,6,109.24,0.55
FUSE,read,2000,2,420.90,0.88
FUSE,read,2000,3,95.77,0.86
FUSE,read,2000,4,418.68,0.86
FUSE,read,2000,5,100.35,0.87
FUSE,read,2000,6,429.25,0.86
NFS,write,2000,2,826.74,0.82
NFS,write,2000,3,823.94,0.82
NFS,write,2000,4,822.85,0.82
NFS,write,2000,5,822.55,0.82
NFS,write,2000,6,822.51,0.82
NFS,read,2000,2,385.65,0.38
NFS,read,2000,3,388.65,0.39
NFS,read,2000,4,381.86,0.38
NFS,read,2000,5,383.47,0.38
NFS,read,2000,6,382.76,0.38
FUSE,write,2500,2,142.74,0.59
FUSE,write,2500,3,128.59,0.89
FUSE,write,2500,4,140.56,0.59
FUSE,write,2500,5,135.26,0.94
FUSE,write,2500,6,136.53,0.58
FUSE,read,2500,2,441.04,0.89
FUSE,read,2500,3,131.90,0.93
FUSE,read,2500,4,447.14,0.88
FUSE,read,2500,5,129.86,0.89
FUSE,read,2500,6,451.62,0.90
NFS,write,2500,2,1021.77,1.02
NFS,write,2500,3,1024.01,1.02
NFS,write,2500,4,1028.05,1.03
NFS,write,2500,5,1027.67,1.03
NFS,write,2500,6,1025.46,1.02
NFS,read,2500,2,477.42,0.47
NFS,read,2500,3,460.13,0.46
NFS,read,2500,4,464.16,0.46
NFS,read,2500,5,461.43,0.46
NFS,read,2500,6,456.82,0.45
FUSE,write,3000,2,167.74,0.61
FUSE,write,3000,3,171.13,0.96
FUSE,write,3000,4,161.22,0.60
FUSE,write,3000,5,164.68,0.93
FUSE,write,3000,6,161.93,0.60
FUSE,read,3000,2,477.40,0.94
FUSE,read,3000,3,157.28,0.92
FUSE,read,3000,4,474.88,0.92
FUSE,read,3000,5,157.05,0.93
FUSE,read,3000,6,469.49,0.93
NFS,write,3000,2,1218.68,1.22
NFS,write,3000,3,1220.00,1.22
NFS,write,3000,4,1224.92,1.22
NFS,write,3000,5,1219.92,1.22
NFS,write,3000,6,1225.03,1.22
NFS,read,3000,2,546.31,0.54
NFS,read,3000,3,562.10,0.56
NFS,read,3000,4,582.47,0.58
NFS,read,3000,5,548.31,0.55
NFS,read,3000,6,575.88,0.57
FUSE,write,3500,2,191.42,0.64
FUSE,write,3500,3,191.92,0.96
FUSE,write,3500,4,195.54,0.67
FUSE,write,3500,5,182.12,0.97
FUSE,write,3500,6,194.39,0.63
FUSE,read,3500,2,521.90,0.96
FUSE,read,3500,3,182.79,0.94
FUSE,read,3500,4,503.50,0.94
FUSE,read,3500,5,187.45,0.98
FUSE,read,3500,6,513.27,0.97
NFS,write,3500,2,1417.90,1.42
NFS,write,3500,3,1423.22,1.42
NFS,write,3500,4,1421.92,1.42
NFS,write,3500,5,1417.17,1.41
NFS,write,3500,6,1423.56,1.42
NFS,read,3500,2,672.86,0.67
NFS,read,3500,3,674.07,0.67
NFS,read,3500,4,683.94,0.68
NFS,read,3500,5,682.86,0.68
NFS,read,3500,6,675.11,0.67
FUSE,write,4000,2,225.46,0.67
FUSE,write,4000,3,220.48,1.00
FUSE,write,4000,4,220.14,0.66
